STATE_ABBR,AVG_ELEC,NG_PRICES,ENERGY_CONSUMED,ENERGY_EXPEND,ENERGY_PROD
AK,21.18,9.73,818,9349,1475
AL,12.29,19.09,404,4982,1354
AR,10.08,17.74,376,4680,1454
AZ,11.66,15.6,211,3360,635
CA,17.97,12.4,196,3550,2413
CO,12.16,7.42,276,3733,3042
CT,19.66,13.28,209,4307,197
DC,13.71,  ,271,3517,0
DE,13.87,13.74,293,4112,4
FL,11.3,20.38,207,3336,554
GA,10.93,16.53,282,3935,598
HI,28.48,34.09,198,5195,27
IA,12,10.22,496,5796,757
ID,10.08,7.34,318,4270,155
IL,12.86,8.71,314,4002,2684
IN,12.42,8.38,444,5176,1123
KS,13.16,  ,390,5046,881
KY,11.01,11.42,401,5092,2055
LA,9.16,15.24,921,9766,2852
MA,19.15,13.38,213,4082,125
MD,14.33,13.43,234,3841,250
ME,16.24,13.32,309,5681,151
MI,15.46,7.95,291,4108,683
MN,13.15,7.9,350,4638,467
MO,10.79,15.24,314,4406,200
MS,11.04,13.66,386,5328,403
MT,11.06,7.35,394,5402,1162
NC,11.22,11.9,257,3751,596
ND,10.3,6.97,865,11094,3261
NE,10.73,10.04,459,5486,402
NH,19.11,14.97,234,4790,161
NJ,15.29,9.11,262,4376,388
NM,11.98,10.06,326,4325,2515
NV,11.8,9.7,233,3704,71
NY,17.75,10.91,190,3446,872
OH,12.22,10.14,329,4431,1547
OK,9.4,18.87,433,5283,3573
OR,10.75,  ,249,3744,480
PA,14.24,10.56,305,4351,7087
RI,18.17,14.27,194,3985,4
SC,12.54,13.61,338,4530,675
SD,11.71,9.62,459,5648,250
TN,10.95,12.14,335,4523,500
TX,11.11,18.47,478,6025,17597
UT,10.71,  ,271,3653,1171
VA,11.52,12.99,292,4080,980
VT,17.84,14.31,223,5225,86
WA,9.51,10.65,285,3653,1027
WI,14.4,8.26,324,4592,299
WV,11.72,8.92,407,4736,4154
WY,11.3,8.76,917,9997,9362
